des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h
2021 CF6,25,2460394.796045419,2024-Mar-25 07:06,0.0372877818422407,0.0372875139880308,0.0372880496966478,8.29781914022332,8.28920310677409,< 00:01,23.79
2024 GD,9,2460395.583474243,2024-Mar-26 02:00,0.00212164137308537,0.00212002209562203,0.00212326065203935,11.4570013624973,11.3468570590716,00:05,24.95
2010 TW54,14,2460395.995472407,2024-Mar-26 11:53,0.0785748841231744,0.0584107526605419,0.0988041131738856,10.0491113096835,10.0457363088375,22:03,27.6
2024 FO3,1,2460396.025210691,2024-Mar-26 12:36,0.000912772062884218,0.000911624771232627,0.000913919326696452,10.4362850296737,10.1527253078607,< 00:01,27.77
2024 FA3,6,2460396.103385249,2024-Mar-26 14:29,0.0238662687790186,0.0237976855379451,0.0239348500224161,6.63216103387371,6.6153061807705,< 00:01,26.17
2023 HM4,26,2460396.125523625,2024-Mar-26 15:01,0.0905260814555593,0.0905211540923756,0.0905310088161959,3.56079451428795,3.55251896780596,00:02,27.69
2024 ES5,2,2460396.624913639,2024-Mar-27 03:00,0.00479359713559435,0.00478661386552121,0.004800580183809,10.1026339528137,10.0474638667388,< 00:01,25.42
2024 EA3,13,2460396.844446422,2024-Mar-27 08:16,0.0209927503689757,0.020972202308169,0.0210132983410176,10.7614187125946,10.7496179065782,< 00:01,24.39
2024 GP,7,2460397.056658582,2024-Mar-27 13:22,0.0412980429113943,0.041206532647014,0.0413895528518635,12.3056816477178,12.3004375622935,< 00:01,23.34
2024 GL1,7,2460397.259934750,2024-Mar-27 18:14,0.0369178718063532,0.0368605360797506,0.036975206589384,5.11414842583376,5.10001645179054,< 00:01,25.48
2024 EO4,6,2460397.263943891,2024-Mar-27 18:20,0.0336309967694114,0.03312343145033,0.034138551262376,14.9475357816995,14.9422345103344,00:02,24.78
2024 EO3,9,2460397.782291546,2024-Mar-28 06:46,0.0257314994811097,0.0256628068688533,0.0258001915116359,11.4341502743588,11.4250905401937,< 00:01,24.80
2024 FN1,2,2460397.899388744,2024-Mar-28 09:35,0.0410573535673942,0.0408937640174883,0.0412209392726178,6.59661103799625,6.5867658337015,< 00:01,26.1
2024 FK5,1,2460398.074053669,2024-Mar-28 13:47,0.0107251929140421,0.0107070518734828,0.0107433335997574,9.28616677258023,9.25937523062842,< 00:01,27.27
2024 ES4,1,2460398.275192716,2024-Mar-28 18:36,0.0454524614058645,0.0454331464354976,0.0454717763066245,5.13158511488039,5.12014876003877,< 00:01,25.82
2010 GD35,23,2460398.358041745,2024-Mar-28 20:36,0.0590350915582077,0.0590341410241179,0.0590360420923111,13.1305132432132,13.1270754696309,< 00:01,24.62
