"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2024 CS7)","2024-Feb-17 22:44 ± < 00:01","0.02097","0.02093","12.84","12.83","25.1","25 m -   56 m","0"
"(2006 RH2)","2024-Feb-18 01:36 ± 4_23:55","0.15850","0.15369","6.55","6.55","27.2","9.7 m -   22 m","0"
"(2024 CA8)","2024-Feb-18 01:43 ± < 00:01","0.01950","0.01941","26.08","26.07","24.3","36 m -   81 m","0"
"(2024 BC8)","2024-Feb-18 03:37 ± < 00:01","0.01593","0.01588","10.50","10.48","25.4","22 m -   49 m","0"
"(2024 BE2)","2024-Feb-18 09:22 ± < 00:01","0.08550","0.08543","8.46","8.46","23.9","45 m -  100 m","0"
"(2024 EB1)","2024-Feb-18 11:02 ±    00:01","0.14828","0.14775","19.79","19.79","22.8","72 m -  160 m","0"
"(2024 CC2)","2024-Feb-18 11:12 ±    00:17","0.16995","0.16590","10.30","10.29","24.3","37 m -   83 m","0"
"(2024 DY)","2024-Feb-18 15:28 ± < 00:01","0.00115","0.00115","11.82","11.62","29.0","4.2 m -  9.3 m","0"
"(2016 CA138)","2024-Feb-18 16:44 ± < 00:01","0.06447","0.06447","14.35","14.34","23.3","58 m -  130 m","0"
"(2024 EU2)","2024-Feb-18 18:17 ±    01:26","0.03333","0.03251","12.63","12.62","24.8","29 m -   65 m","0"
"(2024 EY2)","2024-Feb-18 19:58 ± < 00:01","0.07295","0.07284","23.33","23.33","22.0","110 m -  240 m","0"
"(2019 GM1)","2024-Feb-18 22:57 ± < 00:01","0.13114","0.13114","3.46","3.45","27.3","9.4 m -   21 m","0"
"(2024 CH2)","2024-Feb-18 23:23 ± < 00:01","0.01458","0.01453","9.59","9.57","26.0","17 m -   37 m","0"
"(2018 SD1)","2024-Feb-19 00:28 ± 4_19:46","0.16617","0.14167","18.92","18.92","24.6","32 m -   71 m","0"
"(2024 BD6)","2024-Feb-19 04:02 ± < 00:01","0.18443","0.18335","28.92","28.92","22.0","110 m -  240 m","0"
"(2024 DN1)","2024-Feb-19 04:34 ±    00:15","0.09850","0.09653","15.04","15.04","24.5","34 m -   76 m","0"
"(2024 FE4)","2024-Feb-19 05:39 ±    00:01","0.08954","0.08950","6.02","6.01","24.6","32 m -   71 m","0"
"(2024 EU1)","2024-Feb-19 06:04 ±    00:01","0.06888","0.06885","2.92","2.91","25.1","25 m -   56 m","0"
"(2024 CP1)","2024-Feb-19 06:30 ±    00:10","0.10608","0.10405","5.68","5.67","25.8","19 m -   41 m","0"
"(2024 CC3)","2024-Feb-19 13:45 ±    00:23","0.19404","0.19141","11.78","11.78","24.3","37 m -   83 m","0"
