des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,diameter,diameter_sigma,fullname
2023 BP5,4,2459977.913574887,2023-Feb-02 09:56,0.0112219274304966,0.0111919912678906,0.0112518616558658,6.25160993729899,6.21351403234528,< 00:01,27.12,,,       (2023 BP5)
2023 BB8,2,2459977.975867445,2023-Feb-02 11:25,0.0400233694269466,0.0395761311054737,0.0404705971187394,11.1945434570328,11.1885949534888,00:01,25.39,,,       (2023 BB8)
2023 BH6,1,2459977.999554862,2023-Feb-02 11:59,0.0149325819237865,0.0148373529825029,0.0150278064656241,9.72325192423496,9.70488331274764,00:03,28.21,,,       (2023 BH6)
2023 BX7,6,2459978.224633050,2023-Feb-02 17:23,0.0108141230472974,0.0107943156370147,0.0108339302621989,13.5308221748613,13.5126004539586,< 00:01,25.25,,,       (2023 BX7)
2023 BR5,2,2459978.601313293,2023-Feb-03 02:26,0.0279157830603283,0.0276597106863527,0.0281718432651538,7.8704510145438,7.85831439039253,< 00:01,27.50,,,       (2023 BR5)
367789,90,2459978.868413316,2023-Feb-03 08:51,0.0121452434338017,0.0121452405021396,0.0121452463654638,9.91824508176566,9.89610106595779,< 00:01,21.77,,,367789 (2011 AG5)
2010 LK34,29,2459979.142295574,2023-Feb-03 15:25,0.0263042090060022,0.0263040391683951,0.0263043788436093,26.8869267022129,26.8831590016753,< 00:01,21.91,0.108,0.002,       (2010 LK34)
2023 BN6,10,2459979.849674789,2023-Feb-04 08:24,0.00514818850993229,0.00514699019757513,0.00514938681167625,7.51946190013016,7.45031502108286,< 00:01,25.23,,,       (2023 BN6)
2023 CZ2,5,2459980.136503207,2023-Feb-04 15:17,0.00507404920015514,0.00505213276675454,0.00509595538813799,3.93319117170935,3.79733523842247,00:05,29.11,,,       (2023 CZ2)
2020 OO1,17,2459980.356892831,2023-Feb-04 20:34,0.0123057840289335,0.0123057039696164,0.0123058640882541,7.73602584557433,7.70798617333572,< 00:01,26.30,,,       (2020 OO1)
2023 BO7,1,2459980.371433196,2023-Feb-04 20:55,0.0365742664838582,0.0356194983993846,0.0375289210771569,5.14907027355776,5.13490236271522,00:31,27.16,,,       (2023 BO7)
2023 BZ7,4,2459980.380935991,2023-Feb-04 21:09,0.0310818680869083,0.0309978807693242,0.0311658545124299,9.31888382410873,9.30968026386762,< 00:01,26.11,,,       (2023 BZ7)
2023 BC4,3,2459980.463002880,2023-Feb-04 23:07,0.041499585164008,0.0412983038764681,0.0417008645803639,11.5788883178967,11.5733419871674,< 00:01,24.03,,,       (2023 BC4)
2023 BG4,7,2459980.613505268,2023-Feb-05 02:43,0.0440227136058499,0.0437860943145233,0.0442593300293894,10.3688770231708,10.363038189295,< 00:01,25.30,,,       (2023 BG4)
2023 BT1,5,2459981.938220090,2023-Feb-06 10:31,0.0431509632686439,0.0430210632756496,0.0432808619994687,8.76210352006663,8.7550535344051,< 00:01,25.35,,,       (2023 BT1)
2023 CC,7,2459982.011752483,2023-Feb-06 12:17,0.0100262414011245,0.00999342171416932,0.0100590596916491,9.01987067048211,8.99035960226538,< 00:01,25.99,,,       (2023 CC)
2022 YO6,26,2459982.083590702,2023-Feb-06 14:00,0.0310308299776496,0.0310295825595774,0.0310320773957007,13.4147012632316,13.4082988808496,< 00:01,21.73,,,       (2022 YO6)
2023 CO,15,2459982.091198463,2023-Feb-06 14:11,0.0154102993481934,0.0153929565977343,0.0154276417838195,6.57402064275441,6.5476669435925,< 00:01,25.07,,,       (2023 CO)
